date,v_min,source_file
2026-06-11,13.25,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-12,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-13,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-14,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-15,13.25,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-16,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-17,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-18,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-19,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-20,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-21,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-22,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-23,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-24,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-25,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-26,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-27,13.21,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-28,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-29,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-30,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-07-01,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-02,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-03,13.27,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-04,13.11,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-05,13.03,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-06,13.58,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-07,13.52,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-08,13.49,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-09,13.43,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-10,13.38,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-11,13.67,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-12,13.59,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-13,13.49,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-14,12.85,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-15,13.15,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
2026-07-16,12.75,battery_bank_voltage_voltmeter_battery_bank_voltage_01_07_2026_00h__01_08_2026_00h.csv
